,Image Name,Cat. 1,Cat. 2,Cat. 3,Cat. 4,Cat. 5,True Skill Rating,Load,Exemplar of,To be asked,Trial Type,Audio,RT to TO,RT VS,RT to TO,Sound Onset,Sound Hz,Trial N.,trial_n
0,2008_000032.jpg, bus, person,,,,30.612035947600003,high, person,,No Target,Normal,None,Na,Na,None,None,13,433
1,2008_000036.jpg, person, bicycle, boat,,,33.1188342393,high, boat,,No Target,Normal,None,Na,Na,None,None,51,471
2,2008_000037.jpg, aeroplane,,,,,12.091823003599998,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,11,11
3,2008_000059.jpg, person, dog,,,,19.028715358699998,low, person,,No Target,Normal,None,Na,Na,None,None,28,388
4,2008_000066.jpg, dog,,,,,14.840370850899999,low, dog,,No Target,Critical,None,Na,Na,0.863,tone1,58,58
5,2008_000093.jpg, tvmonitor, chair, sofa,,,29.822033003800001,high, sofa,,No Target,Normal,None,Na,Na,None,None,39,159
6,2008_000112.jpg, bottle, cat,,,,21.259829756400002,low, bottle,,No Target,Critical,"[('space', 0.9839663835446117)]",Na,Na,0.478,tone4,41,41
7,2008_000119.jpg, person, horse,,,,19.1875460742,low, horse,,No Target,Normal,None,Na,Na,None,None,33,33
8,2008_000140.jpg, boat,,,,,41.700233124699999,high, boat, bird,Target Absent,Critical,None,"[('q', 1.9350723920360906)]","['space', 1.2791287296495284]",0.658,tone1,52,292
9,2008_000141.jpg, person, horse,,,,19.2853678976,low, horse,,No Target,Critical,None,Na,Na,0.658,tone3,7,187
10,2008_000151.jpg, aeroplane,,,,,8.1712447406199988,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,31,31
11,2008_000163.jpg, car,,,,,18.708497724600001,low, car, car,Target Present,Normal,None,"[('p', 1.661640772181272)]",-999,None,None,16,196
12,2008_000191.jpg, person, bicycle, boat,,,34.319051607799999,high, boat,,No Target,Normal,"[('space', 9.123130439547822e-05)]",Na,Na,None,None,51,171
13,2008_000192.jpg, bird,,,,,29.176311484999999,high, bird,,No Target,Normal,"[('space', 0.49959972265787655)]",Na,Na,None,None,35,95
14,2008_000193.jpg, car, person,,,,16.259093577600002,low, car,,No Target,Normal,None,Na,Na,None,None,14,314
15,2008_000196.jpg, pottedplant, bicycle, bottle, cat,,35.353784429899996,high, pottedplant,,No Target,Normal,None,Na,Na,None,None,2,242
16,2008_000197.jpg, aeroplane,,,,,16.5760972263,low, aeroplane, person,Target Absent,Normal,None,"[('q', 1.7263351701185456)]",-999,None,None,47,47
17,2008_000236.jpg, person,,,,,19.2767263378,low, person,,No Target,Normal,None,Na,Na,None,None,27,27
18,2008_000251.jpg, car, aeroplane,,,,35.872179407899999,high, aeroplane,,No Target,Critical,None,Na,Na,0.934,tone4,21,261
19,2008_000262.jpg, boat,,,,,38.409554998400004,high, boat,,No Target,Critical,"[('space', 0.8992256173005444)]",Na,Na,0.406,tone2,11,131
20,2008_000270.jpg, person, dog, sofa,,,29.9356183869,high, sofa,,No Target,Critical,"[('space', 0.762557133602968)]",Na,Na,0.273,tone4,33,153
21,2008_000287.jpg, pottedplant,,,,,19.549656454899999,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,30,30
22,2008_000339.jpg, bird,,,,,14.382431817800001,low, bird, sofa,Target Absent,Critical,"[('space', 0.9878616751011577)]","[('q', 1.6278159111971036)]",-999,0.478,tone2,42,342
23,2008_000398.jpg, person, bottle,,,,20.423795473800002,low, bottle, sofa,Target Absent,Normal,None,"[('q', 1.7438741030782694)]",-999,None,None,41,401
24,2008_000400.jpg, bird,,,,,19.619544853200001,low, bird,,No Target,Normal,None,Na,Na,None,None,0,300
25,2008_000414.jpg, boat,,,,,35.947150003000004,high, boat,,No Target,Normal,None,Na,Na,None,None,5,245
26,2008_000418.jpg, person, chair, diningtable,,,28.877708545400001,high, chair,,No Target,Normal,None,Na,Na,None,None,37,277
27,2008_000421.jpg, person, bottle, sofa,,,28.876320235999998,high, bottle,,No Target,Normal,None,Na,Na,None,None,20,260
28,2008_000424.jpg, person,,,,,29.857857849200002,high, person,,No Target,Normal,"[('space', 0.363705564654083)]",Na,Na,None,None,15,135
29,2008_000491.jpg, pottedplant,,,,,15.0694834115,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,40,40
30,2008_000495.jpg, tvmonitor, chair, bottle,,,32.179769174999997,high, bottle,,No Target,Normal,None,Na,Na,None,None,2,422
31,2008_000533.jpg, bird,,,,,13.809456573399999,low, bird,,No Target,Normal,None,Na,Na,None,None,27,387
32,2008_000541.jpg, person, sofa,,,,29.639010239099999,high, sofa,,No Target,Critical,None,Na,Na,0.478,tone1,50,470
33,2008_000564.jpg, pottedplant, person,,,,31.190712873600003,high, person,,No Target,Normal,None,Na,Na,None,None,37,457
34,2008_000619.jpg, car, cat,,,,33.462184790500004,high, cat,,No Target,Normal,"[('space', 0.061339936961303465)]",Na,Na,None,None,4,424
35,2008_000645.jpg, person,,,,,10.9629483508,low, person,,No Target,Normal,None,Na,Na,None,None,46,46
36,2008_000646.jpg, person,,,,,13.395747249300001,low, person, person,Target Present,Critical,None,"[('p', 1.7614549454228836)]","['space', 1.185508876806125]",0.658,tone3,48,348
37,2008_000697.jpg, bird,,,,,32.065095855500005,high, bird, aeroplane,Target Absent,Critical,"[('space', 0.9588806261235732)]","[('q', 1.6468481865522335)]",-999,0.503,tone1,36,276
38,2008_000734.jpg, person, sofa,,,,20.185339334400002,low, sofa,,No Target,Normal,None,Na,Na,None,None,6,366
39,2008_000777.jpg, person,,,,,20.325858104800002,low, person,,No Target,Normal,None,Na,Na,None,None,4,304
40,2008_000798.jpg, bird,,,,,29.594597886300001,high, bird,,No Target,Normal,None,Na,Na,None,None,48,468
41,2008_000803.jpg, person, bicycle, motorbike,,,31.276131464499997,high, person,,No Target,Normal,None,Na,Na,None,None,25,265
42,2008_000829.jpg, person, dog,,,,30.556102874699999,high, dog,,No Target,Normal,None,Na,Na,None,None,43,103
43,2008_000880.jpg, car, horse, person,,,34.976637752899997,high, car,,No Target,Normal,None,Na,Na,None,None,29,269
44,2008_000916.jpg, pottedplant, person, train,,,29.323493073200002,high, pottedplant,,No Target,Normal,None,Na,Na,None,None,34,154
45,2008_000952.jpg, car,,,,,19.7592559984,low, car,,No Target,Normal,None,Na,Na,None,None,11,191
46,2008_000972.jpg, person, sofa,,,,20.7078777754,low, person,,No Target,Normal,None,Na,Na,None,None,52,232
47,2008_000987.jpg, person,,,,,31.647647272899999,high, person,,No Target,Normal,None,Na,Na,None,None,20,140
48,2008_001040.jpg, boat,,,,,20.2100437036,low, boat,,No Target,Normal,None,Na,Na,None,None,20,320
49,2008_001155.jpg, chair, diningtable,,,,33.694127868800003,high, chair, bird,Target Absent,Normal,"[('space', 0.02885617613355862)]","[('q', 1.6128311696302262)]",-999,None,None,17,437
50,2008_001182.jpg, person, dog,,,,32.236048221300003,high, dog,,No Target,Normal,None,Na,Na,None,None,43,283
51,2008_001210.jpg, cat,,,,,29.2469761744,high, cat,,No Target,Normal,"[('space', 0.27849609757686267)]",Na,Na,None,None,1,241
52,2008_001278.jpg, person, horse,,,,32.480531856799999,high, horse,,No Target,Normal,None,Na,Na,None,None,29,149
53,2008_001312.jpg, person, bottle,,,,31.293565916599999,high, bottle,,No Target,Normal,None,Na,Na,None,None,18,258
54,2008_001320.jpg, person, chair, diningtable,,,20.005298847300001,low, chair, aeroplane,Target Absent,Normal,None,"[('q', 1.6161163518409012)]",-999,None,None,47,407
55,2008_001329.jpg, car, person,,,,34.576441034200002,high, car,,No Target,Normal,None,Na,Na,None,None,53,173
56,2008_001333.jpg, sofa, chair, bottle, person,,29.051766794999999,high, sofa,,No Target,Normal,None,Na,Na,None,None,43,463
57,2008_001395.jpg, person,,,,,19.9798246298,low, person,,No Target,Normal,None,Na,Na,None,None,51,231
58,2008_001439.jpg, chair,,,,,19.8771316411,low, chair,,No Target,Normal,None,Na,Na,None,None,28,28
59,2008_001464.jpg, person, horse,,,,30.756714401700002,high, horse,,No Target,Critical,None,Na,Na,0.503,tone3,2,62
60,2008_001467.jpg, pottedplant, person, chair,,,30.033197364499998,high, pottedplant,,No Target,Critical,None,Na,Na,0.984,tone3,27,267
61,2008_001580.jpg, boat,,,,,29.288105034400001,high, boat,,No Target,Normal,None,Na,Na,None,None,49,109
62,2008_001617.jpg, person, chair,,,,20.224139544500002,low, chair,,No Target,Normal,None,Na,Na,None,None,55,415
63,2008_001673.jpg, person, chair, bird,,,29.630121226999997,high, bird,,No Target,Normal,None,Na,Na,None,None,27,87
64,2008_001694.jpg, pottedplant, sofa, chair,,,18.5118878018,low, sofa,,No Target,Normal,None,Na,Na,None,None,37,37
