,Image Name,Cat. 1,Cat. 2,Cat. 3,Cat. 4,Cat. 5,True Skill Rating,Load,Exemplar of,To be asked,Trial Type,Audio,RT to TO,RT VS,RT to TO,Sound Onset,Sound Hz,Trial N.,trial_n
265,2009_002567.jpg, bottle,,,,,19.93577352,low, bottle,,No Target,Critical,None,Na,Na,0.168,tone2,0,0
94,2008_003045.jpg, cat,,,,,16.41703919,low, cat,,No Target,Normal,None,Na,Na,None,None,1,1
38,2008_000734.jpg, person, sofa,,,,20.18533933,low, sofa,,No Target,Normal,None,Na,Na,None,None,2,2
333,2010_001192.jpg, sofa, person,,,,20.92452836,low, sofa,,No Target,Normal,None,Na,Na,None,None,3,3
384,2010_004175.jpg, cat,,,,,10.23663576,low, cat,,No Target,Normal,None,Na,Na,None,None,4,4
473,2011_002766.jpg, sofa, dog,,,,19.88562666,low, sofa,,No Target,Normal,None,Na,Na,None,None,5,5
402,2010_005409.jpg, car, bottle, person,,,19.55873743,low, bottle, bottle,Target Present,Normal,None,"[('p', 2.340356283071742)]",-999,None,None,6,6
343,2010_001836.jpg, aeroplane,,,,,18.21242681,low, aeroplane,,No Target,Critical,None,Na,Na,0.026,tone1,7,7
479,2011_003098.jpg, dog,,,,,14.52660239,low, dog,,No Target,Normal,None,Na,Na,None,None,8,8
62,2008_001617.jpg, person, chair,,,,20.22413954,low, chair,,No Target,Normal,None,Na,Na,None,None,9,9
445,2011_001591.jpg, person, boat,,,,17.69816713,low, boat,,No Target,Normal,None,Na,Na,None,None,10,10
391,2010_004662.jpg, boat,,,,,21.19862042,low, boat,,No Target,Normal,None,Na,Na,None,None,11,11
205,2008_008533.jpg, horse,,,,,19.2079564,low, horse,,No Target,Normal,None,Na,Na,None,None,12,12
353,2010_002393.jpg, boat,,,,,20.13141109,low, boat,,No Target,Normal,None,Na,Na,None,None,13,13
253,2009_001894.jpg, cat,,,,,19.10769655,low, cat,,No Target,Normal,None,Na,Na,None,None,14,14
442,2011_001432.jpg, bird,,,,,19.73559235,low, bird,,No Target,Normal,None,Na,Na,None,None,15,15
460,2011_002038.jpg, chair,,,,,19.16151497,low, chair, chair,Target Present,Normal,None,"[('p', 1.781421665502421)]",-999,None,None,16,16
337,2010_001441.jpg, bird,,,,,12.28655099,low, bird,,No Target,Normal,None,Na,Na,None,None,17,17
280,2009_003309.jpg, aeroplane,,,,,19.09599574,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,18,18
385,2010_004223.jpg, person, chair,,,,16.60680658,low, chair,,No Target,Normal,None,Na,Na,None,None,19,19
82,2008_002357.jpg, person,,,,,15.28084218,low, person,,No Target,Normal,None,Na,Na,None,None,20,20
140,2008_005345.jpg, pottedplant,,,,,16.52047637,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,21,21
303,2009_004594.jpg, car,,,,,19.03017815,low, car,,No Target,Normal,None,Na,Na,None,None,22,22
39,2008_000777.jpg, person,,,,,20.3258581,low, person,,No Target,Normal,None,Na,Na,None,None,23,23
299,2009_004334.jpg, bird,,,,,18.83558265,low, bird,,No Target,Normal,None,Na,Na,None,None,24,24
155,2008_006034.jpg, aeroplane,,,,,20.01272221,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,25,25
271,2009_002749.jpg, bottle,,,,,20.96364308,low, bottle,,No Target,Normal,None,Na,Na,None,None,26,26
331,2010_001036.jpg, person, boat,,,,19.19481595,low, boat,,No Target,Normal,None,Na,Na,None,None,27,27
245,2009_001723.jpg, boat,,,,,19.26433768,low, boat,,No Target,Normal,None,Na,Na,None,None,28,28
341,2010_001731.jpg, chair,,,,,9.955368401,low, chair,,No Target,Normal,None,Na,Na,None,None,29,29
138,2008_005251.jpg, person,,,,,18.43977255,low, person,,No Target,Normal,None,Na,Na,None,None,30,30
312,2009_004888.jpg, person, boat,,,,16.65124246,low, boat,,No Target,Normal,None,Na,Na,None,None,31,31
347,2010_001995.jpg, bird,,,,,18.3319521,low, bird,,No Target,Critical,"[('space', 0.7532256151607726)]",Na,Na,0.249,tone2,32,32
308,2009_004737.jpg, chair,,,,,16.98544233,low, chair,,No Target,Normal,None,Na,Na,None,None,33,33
267,2009_002594.jpg, bottle,,,,,19.09623736,low, bottle,,No Target,Normal,None,Na,Na,None,None,34,34
318,2010_000073.jpg, car,,,,,18.42947513,low, car,,No Target,Critical,"[('space', 0.5216858044441324)]",Na,Na,0.689,tone1,35,35
137,2008_005214.jpg, pottedplant,,,,,21.2176699,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,36,36
95,2008_003135.jpg, pottedplant,,,,,20.73071186,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,37,37
152,2008_005748.jpg, dog,,,,,12.20210994,low, dog,,No Target,Normal,None,Na,Na,None,None,38,38
92,2008_002866.jpg, person, horse,,,,18.60877848,low, horse,,No Target,Normal,None,Na,Na,None,None,39,39
236,2009_001299.jpg, person, chair,,,,19.77080876,low, chair,,No Target,Normal,None,Na,Na,None,None,40,40
302,2009_004582.jpg, sofa, person,,,,20.38268488,low, sofa,,No Target,Critical,None,Na,Na,0.884,tone2,41,41
352,2010_002379.jpg, pottedplant,,,,,19.89572012,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,42,42
76,2008_002145.jpg, person,,,,,18.87955753,low, person, boat,Target Absent,Normal,None,"[('q', 2.164516921788163)]",-999,None,None,43,43
249,2009_001782.jpg, car,,,,,18.87415623,low, car,,No Target,Critical,"[('space', 0.00010833778651431203)]",Na,Na,0.414,tone3,44,44
421,2011_000481.jpg, aeroplane,,,,,15.75949207,low, aeroplane, aeroplane,Target Present,Normal,None,"[('p', 1.9309922487154836)]",-999,None,None,45,45
113,2008_004171.jpg, pottedplant,,,,,20.58416257,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,46,46
388,2010_004311.jpg, dog,,,,,16.89110622,low, dog,,No Target,Critical,"[('space', 0.28887958197447006)]",Na,Na,0.591,tone3,47,47
466,2011_002453.jpg, pottedplant,,,,,19.24976137,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,48,48
69,2008_001934.jpg, horse,,,,,19.66113924,low, horse,,No Target,Critical,"[('space', 0.9360342324580415)]",Na,Na,0.372,tone2,49,49
111,2008_004138.jpg, aeroplane,,,,,18.76412105,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,50,50
120,2008_004414.jpg, car,,,,,20.49470892,low, car,,No Target,Normal,None,Na,Na,None,None,51,51
86,2008_002471.jpg, bird,,,,,20.79976233,low, bird,,No Target,Normal,None,Na,Na,None,None,52,52
77,2008_002182.jpg, cat,,,,,16.26490692,low, cat,,No Target,Normal,None,Na,Na,None,None,53,53
304,2009_004620.jpg, aeroplane,,,,,17.41279879,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,54,54
198,2008_008083.jpg, person, boat,,,,18.64245043,low, boat,,No Target,Normal,None,Na,Na,None,None,55,55
16,2008_000197.jpg, aeroplane,,,,,16.57609723,low, aeroplane, person,Target Absent,Normal,None,"[('p', 1.8745100565938628)]",-999,None,None,56,56
357,2010_002498.jpg, person, boat,,,,17.99774847,low, boat,,No Target,Normal,None,Na,Na,None,None,57,57
290,2009_003974.jpg, car,,,,,16.30622987,low, car,,No Target,Critical,"[('space', 0.21119939057098236)]",Na,Na,0.689,tone1,58,58
223,2009_000647.jpg, dog,,,,,18.05503275,low, dog, person,Target Absent,Normal,None,"[('q', 2.115167347670649)]",-999,None,None,59,59
79,2008_002195.jpg, person, aeroplane,,,,30.48036176,high, aeroplane,,No Target,Normal,None,Na,Na,None,None,0,60
410,2010_005718.jpg, car, aeroplane,,,,32.22452077,high, aeroplane,,No Target,Normal,None,Na,Na,None,None,1,61
66,2008_001862.jpg, pottedplant, person, chair, dog, bottle,31.05804957,high, dog,,No Target,Critical,"[('space', 0.035855247027939186)]",Na,Na,0.447,tone2,2,62
121,2008_004441.jpg, person, bicycle, car,,,30.19059303,high, person,,No Target,Normal,None,Na,Na,None,None,3,63
219,2009_000466.jpg, cat,,,,,30.95401072,high, cat,,No Target,Normal,None,Na,Na,None,None,4,64
27,2008_000421.jpg, person, bottle, sofa,,,28.87632024,high, bottle,,No Target,Normal,None,Na,Na,None,None,5,65
87,2008_002482.jpg, person, boat,,,,28.94552801,high, boat,,No Target,Normal,None,Na,Na,None,None,6,66
161,2008_006298.jpg, sheep, person, horse,,,32.38547762,high, horse,,No Target,Normal,None,Na,Na,None,None,7,67
73,2008_002039.jpg, person,,,,,29.72640207,high, person,,No Target,Normal,None,Na,Na,None,None,8,68
158,2008_006121.jpg, person, boat,,,,30.38418727,high, boat,,No Target,Normal,None,Na,Na,None,None,9,69
93,2008_002966.jpg, person, boat,,,,31.41385755,high, boat,,No Target,Critical,None,Na,Na,0.83,tone4,10,70
287,2009_003801.jpg, car,,,,,29.67521889,high, car, sofa,Target Absent,Normal,None,"[('q', 2.7087418333248934)]",-999,None,None,11,71
200,2008_008341.jpg, pottedplant, person,,,,30.93117424,high, pottedplant,,No Target,Normal,None,Na,Na,None,None,12,72
40,2008_000798.jpg, bird,,,,,29.59459789,high, bird,,No Target,Normal,None,Na,Na,None,None,13,73
183,2008_007488.jpg, bus, motorbike, car, person,,31.08966391,high, car,,No Target,Normal,None,Na,Na,None,None,14,74
431,2011_001025.jpg, pottedplant, person, bicycle, car,,33.36715275,high, car,,No Target,Critical,"[('space', 0.8501679805995082)]",Na,Na,0.22,tone2,15,75
217,2009_000405.jpg, bus, person, car,,,29.16002617,high, car, car,Target Present,Normal,None,"[('p', 2.0243090044677956)]",-999,None,None,16,76
34,2008_000619.jpg, car, cat,,,,33.46218479,high, cat,,No Target,Normal,None,Na,Na,None,None,17,77
53,2008_001312.jpg, person, bottle,,,,31.29356592,high, bottle,,No Target,Normal,None,Na,Na,None,None,18,78
262,2009_002414.jpg, bird,,,,,29.74278668,high, bird,,No Target,Normal,None,Na,Na,None,None,19,79
171,2008_006870.jpg, person, dog,,,,30.6573416,high, dog, dog,Target Present,Normal,None,"[('p', 1.8730848444538424)]",-999,None,None,20,80
80,2008_002199.jpg, car, bottle, person,,,36.80648002,high, car,,No Target,Normal,None,Na,Na,None,None,21,81
172,2008_006903.jpg, boat,,,,,31.79381279,high, boat,,No Target,Normal,None,Na,Na,None,None,22,82
47,2008_000987.jpg, person,,,,,31.64764727,high, person,,No Target,Normal,None,Na,Na,None,None,23,83
278,2009_003198.jpg, pottedplant, chair, diningtable,,,29.96856146,high, pottedplant,,No Target,Normal,None,Na,Na,None,None,24,84
135,2008_005178.jpg, person, dog,,,,29.07343452,high, dog,,No Target,Normal,None,Na,Na,None,None,25,85
298,2009_004283.jpg, pottedplant, sofa,,,,29.04248887,high, pottedplant,,No Target,Normal,None,Na,Na,None,None,26,86
180,2008_007378.jpg, chair, dog, diningtable,,,29.61144034,high, dog,,No Target,Critical,"[('space', 0.6420331239933148)]",Na,Na,0.132,tone1,27,87
379,2010_003861.jpg, pottedplant, person, chair, sofa, cat,29.7271296,high, cat,,No Target,Normal,None,Na,Na,None,None,28,88
202,2008_008368.jpg, person, bicycle, car,,,31.8102479,high, car,,No Target,Normal,None,Na,Na,None,None,29,89
450,2011_001769.jpg, person, chair, bottle,,,30.2142954,high, chair,,No Target,Normal,None,Na,Na,None,None,30,90
32,2008_000541.jpg, person, sofa,,,,29.63901024,high, sofa,,No Target,Critical,"[('space', 0.40063143825682346)]",Na,Na,0.933,tone3,31,91
344,2010_001856.jpg, person, horse,,,,35.66913246,high, horse,,No Target,Normal,None,Na,Na,None,None,32,92
451,2011_001799.jpg, car, motorbike,,,,30.34900042,high, car,,No Target,Normal,None,Na,Na,None,None,33,93
395,2010_005106.jpg, person, aeroplane,,,,30.24293721,high, aeroplane,,No Target,Normal,None,Na,Na,None,None,34,94
233,2009_000995.jpg, sofa, person,,,,31.46367723,high, sofa,,No Target,Normal,None,Na,Na,None,None,35,95
424,2011_000628.jpg, person, horse,,,,31.31059992,high, horse,,No Target,Normal,None,Na,Na,None,None,36,96
415,2011_000009.jpg, tvmonitor, chair, bottle, person,,35.25028289,high, chair,,No Target,Normal,None,Na,Na,None,None,37,97
8,2008_000140.jpg, boat,,,,,41.70023312,high, boat, bird,Target Absent,Critical,None,"[('q', 3.765702137221524)]","['space', 1.541752814213396]",0.85,tone3,38,98
371,2010_003419.jpg, bird,,,,,28.6670652,high, bird,,No Target,Normal,None,Na,Na,None,None,39,99
296,2009_004199.jpg, bottle,,,,,34.55732937,high, bottle,,No Target,Normal,None,Na,Na,None,None,40,100
74,2008_002079.jpg, person, bottle, diningtable,,,33.02206681,high, bottle,,No Target,Normal,None,Na,Na,None,None,41,101
427,2011_000824.jpg, cat,,,,,31.77985882,high, cat,,No Target,Normal,None,Na,Na,None,None,42,102
67,2008_001920.jpg, tvmonitor, person,,,,34.98802186,high, person,,No Target,Normal,None,Na,Na,None,None,43,103
90,2008_002773.jpg, aeroplane, boat,,,,29.28734944,high, aeroplane,,No Target,Critical,"[('space', 0.8205327482355642)]",Na,Na,0.148,tone2,44,104
0,2008_000032.jpg, bus, person,,,,30.61203595,high, person,,No Target,Normal,None,Na,Na,None,None,45,105
244,2009_001695.jpg, bicycle, bottle,,,,35.23814958,high, bottle,,No Target,Normal,None,Na,Na,None,None,46,106
192,2008_007913.jpg, person, cat,,,,32.26510908,high, cat,,No Target,Normal,None,Na,Na,None,None,47,107
167,2008_006767.jpg, boat,,,,,32.60330947,high, boat,,No Target,Normal,None,Na,Na,None,None,48,108
145,2008_005472.jpg, person, car,,,,28.83974175,high, car,,No Target,Normal,None,Na,Na,None,None,49,109
359,2010_002742.jpg, person, bottle, pottedplant, tvmonitor, chair,31.67638571,high, bottle,,No Target,Normal,None,Na,Na,None,None,50,110
190,2008_007745.jpg, person, dog,,,,32.95939022,high, dog,,No Target,Normal,None,Na,Na,None,None,51,111
65,2008_001784.jpg, pottedplant, person,,,,29.50643156,high, pottedplant,,No Target,Critical,"[('space', 0.8375044333006372)]",Na,Na,0.414,tone1,52,112
148,2008_005600.jpg, person, cat,,,,30.22651638,high, cat,,No Target,Normal,None,Na,Na,None,None,53,113
417,2011_000278.jpg, person, boat, car,,,35.33464598,high, car,,No Target,Normal,None,Na,Na,None,None,54,114
201,2008_008357.jpg, person, bicycle, car,,,32.10863486,high, car,,No Target,Normal,None,Na,Na,None,None,55,115
196,2008_008029.jpg, person, sofa,,,,31.11980531,high, sofa,,No Target,Normal,None,Na,Na,None,None,56,116
255,2009_002001.jpg, person, aeroplane,,,,34.54414482,high, aeroplane, car,Target Absent,Normal,None,"[('p', 2.916089530350291)]",-999,None,None,57,117
20,2008_000270.jpg, person, dog, sofa,,,29.93561839,high, sofa,,No Target,Critical,None,Na,Na,0.591,tone4,58,118
428,2011_000828.jpg, sofa, bottle, person,,,29.47971697,high, sofa, sofa,Target Present,Normal,None,"[('q', 3.1247529613319784)]","['space', 1.5087830587071949]",None,None,59,119
206,2008_008591.jpg, person, bicycle, bottle,,,30.12805384,high, bottle,,No Target,Normal,None,Na,Na,None,None,0,120
382,2010_003943.jpg, cat,,,,,31.19357079,high, cat,,No Target,Normal,None,Na,Na,None,None,1,121
179,2008_007281.jpg, sofa, person, bottle, pottedplant, tvmonitor,36.88958526,high, bottle,,No Target,Normal,None,Na,Na,None,None,2,122
317,2010_000020.jpg, person, dog,,,,30.51924458,high, dog,,No Target,Normal,None,Na,Na,None,None,3,123
465,2011_002358.jpg, person, chair, diningtable, bottle,,32.26151027,high, bottle,,No Target,Normal,None,Na,Na,None,None,4,124
239,2009_001321.jpg, car, aeroplane,,,,37.93755166,high, aeroplane,,No Target,Critical,"[('space', 0.930530387609906)]",Na,Na,0.244,tone2,5,125
