,Audio,RT_VS,Sound_Onset,RT_TO,Acc_VS,Acc_DT,Load,Trial_Type,Sound_Hz
0,Normal,NaN,None,NaN,999,999,low,No Target,None
1,Critical,NaN,0.424,1.1102236842105262,999,1,low,No Target,tone4
2,Normal,NaN,None,NaN,999,999,low,No Target,None
3,Normal,NaN,None,NaN,999,999,low,No Target,None
4,Normal,NaN,None,NaN,999,999,low,No Target,None
5,Normal,NaN,None,NaN,999,999,low,No Target,None
6,Critical,NaN,0.735,0.4600000000000001,999,1,low,No Target,tone4
7,Normal,NaN,None,NaN,999,999,low,No Target,None
8,Normal,NaN,None,NaN,999,999,low,No Target,None
9,Critical,NaN,0.71,0.42399999999999993,999,1,low,No Target,tone1
10,Normal,NaN,None,NaN,999,999,low,No Target,None
11,Normal,NaN,None,NaN,999,999,low,No Target,None
12,Critical,1.9460000000000002,0.984,0.474,999,1,low,Target Absent,tone4
13,Normal,NaN,None,NaN,999,999,low,No Target,None
14,Normal,NaN,None,NaN,999,999,low,No Target,None
15,Normal,NaN,None,NaN,999,999,low,No Target,None
16,Normal,0.9099999999999999,None,NaN,1,999,low,Target Present,None
17,Normal,NaN,None,NaN,999,999,low,No Target,None
18,Normal,NaN,None,NaN,999,999,low,No Target,None
19,Normal,NaN,None,NaN,999,999,low,No Target,None
20,Normal,NaN,None,NaN,999,999,low,No Target,None
21,Normal,NaN,None,NaN,999,999,low,No Target,None
22,Critical,NaN,0.977,0.41300000000000014,999,1,low,No Target,tone1
23,Normal,NaN,None,NaN,999,999,low,No Target,None
24,Normal,NaN,None,NaN,999,999,low,No Target,None
25,Normal,NaN,None,NaN,999,999,low,No Target,None
26,Normal,NaN,None,0.568,666,666,low,No Target,None
27,Normal,NaN,None,NaN,999,999,low,No Target,None
28,Normal,NaN,None,NaN,999,999,low,No Target,None
29,Normal,1.746,None,NaN,0,999,low,Target Absent,None
30,Normal,NaN,None,NaN,999,999,low,No Target,None
31,Normal,NaN,None,NaN,999,999,low,No Target,None
32,Normal,1.616,None,NaN,1,999,low,Target Present,None
33,Normal,NaN,None,NaN,999,999,low,No Target,None
34,Normal,NaN,None,NaN,999,999,low,No Target,None
35,Normal,NaN,None,NaN,999,999,low,No Target,None
36,Critical,NaN,0.704,0.40700000000000003,999,1,low,No Target,tone4
37,Normal,NaN,None,NaN,999,999,low,No Target,None
38,Normal,NaN,None,NaN,999,999,low,No Target,None
39,Critical,NaN,0.577,0.45599999999999996,999,1,low,No Target,tone4
40,Normal,NaN,None,NaN,999,999,low,No Target,None
41,Normal,NaN,None,NaN,999,999,low,No Target,None
42,Normal,1.621,None,1.454,666,666,low,Target Absent,None
43,Normal,NaN,None,NaN,999,999,low,No Target,None
44,Normal,NaN,None,NaN,999,999,low,No Target,None
