,Image Name,Cat. 1,Cat. 2,Cat. 3,Cat. 4,Cat. 5,True Skill Rating,Load,Trial Type,Audio,RT to TO,RT VS,RT to TO,Sound Onset,Sound Hz,Trial N.
0,2008_003448.jpg, person, chair,,,,30.01632432927583,high,Target Present,Normal,[],Na,Na,None,None,127
1,2008_003449.jpg, boat,,,,,34.708650154968005,high,Target Present,Normal,[],Na,Na,None,None,57
2,2008_003464.jpg, person,,,,,19.72420040844229,low,Target Absent,Normal,[],Na,Na,None,None,140
3,2008_003477.jpg, chair, diningtable,,,,34.86072655316477,high,Target Absent,Normal,[],Na,Na,None,None,32
4,2008_003498.jpg, car, motorbike,,,,32.34581603770457,high,Target Present,Normal,[],"[('q', 0.9316061347938103)]",-999,None,None,103
5,2008_003701.jpg, boat,,,,,29.9571992215138,high,Target Present,Normal,[],Na,Na,None,None,25
6,2008_003706.jpg, person,,,,,17.23065839052537,low,Target Present,Critical,"[('space', 0.6485476677231077)]",Na,Na,0.152,tone2,89
7,2008_003852.jpg, dog,,,,,18.163024969077554,low,Target Absent,Normal,[],"[('p', 0.6847901725996621)]",-999,None,None,54
8,2008_004036.jpg, person, motorbike,,,,19.44615668764516,low,Target Absent,Normal,[],Na,Na,None,None,0
9,2008_004269.jpg, sofa, person,,,,20.983298059388602,low,Target Present,Normal,[],Na,Na,None,None,73
10,2008_004371.jpg, person, motorbike,,,,32.57923680316899,high,Target Present,Normal,[],"[('q', 0.7927430859778042)]",-999,None,None,120
11,2008_004389.jpg, person, bottle, diningtable,,,28.822656476371627,high,Target Absent,Critical,"[('space', 0.6208480110955747)]",Na,Na,0.091,tone1,51
12,2008_004425.jpg, bird,,,,,17.14996667859641,low,Target Absent,Normal,[],"[('p', 0.8444229310815103)]",-999,None,None,16
13,2008_004436.jpg, person, car,,,,30.697177208527194,high,Target Absent,Normal,[],Na,Na,None,None,111
14,2008_004487.jpg, chair, bottle,,,,35.925064893420085,high,Target Present,Normal,[],Na,Na,None,None,8
15,2008_004522.jpg, person,,,,,20.543288615744785,low,Target Present,Normal,[],Na,Na,None,None,78
16,2008_004564.jpg, person, chair, bottle, diningtable,,28.71963458489457,high,Target Absent,Critical,"[('space', 0.586430536475973)]",Na,Na,0.129,tone2,46
17,2008_004607.jpg, bottle,,,,,20.465741194973702,low,Target Present,Normal,[],"[('p', 1.2460077087546892)]",-999,None,None,9
18,2008_004615.jpg, pottedplant, motorbike,,,,29.797419521088532,high,Target Absent,Critical,[],Na,Na,0.182,tone1,125
19,2008_004695.jpg, dog,,,,,14.467183249090136,low,Target Absent,Normal,[],Na,Na,None,None,146
20,2008_004702.jpg, person, chair, dog,,,18.94630700581527,low,Target Absent,Normal,[],Na,Na,None,None,114
21,2008_004742.jpg, bird,,,,,14.4872306142904,low,Target Present,Normal,[],Na,Na,None,None,119
22,2008_004756.jpg, pottedplant, person,,,,29.004664080836946,high,Target Absent,Normal,[],Na,Na,None,None,126
23,2008_005001.jpg, pottedplant, person,,,,34.9438371419449,high,Target Present,Normal,[],Na,Na,None,None,135
24,2008_005172.jpg, person, motorbike,,,,15.533652366722812,low,Target Absent,Normal,[],Na,Na,None,None,85
25,2008_005194.jpg, dog,,,,,19.65239616193384,low,Target Absent,Critical,"[('space', 0.6449730241658926)]",Na,Na,0.092,tone2,131
26,2008_005251.jpg, person,,,,,18.43977255420649,low,Target Present,Normal,[],Na,Na,None,None,61
27,2008_005276.jpg, person, bicycle,,,,33.36322694079857,high,Target Present,Critical,"[('space', 0.6162668065636012)]",Na,Na,0.118,tone1,34
28,2008_005288.jpg, cat,,,,,15.614019717005355,low,Target Present,Normal,[],Na,Na,None,None,121
