,Load,Trial_Type,Audio,RT_VS,Sound_Onset,Sound_Hz,RT_TO,Acc_VS,Acc_DT
0,low,Target Present,Normal,0.7425,None,None,NaN,1,0
1,low,No Target,Normal,NaN,None,None,NaN,999,0
2,low,No Target,Normal,NaN,None,None,NaN,999,0
3,low,No Target,Normal,NaN,None,None,NaN,999,0
4,low,No Target,Normal,NaN,None,None,NaN,999,0
5,low,No Target,Normal,NaN,None,None,NaN,999,0
6,low,No Target,Critical,NaN,0.008,tone4,0.46299999999999997,999,1
7,low,No Target,Normal,NaN,None,None,NaN,999,0
8,low,No Target,Normal,NaN,None,None,NaN,999,0
9,low,No Target,Normal,NaN,None,None,NaN,999,0
10,low,No Target,Normal,NaN,None,None,NaN,999,0
11,low,No Target,Normal,NaN,None,None,NaN,999,0
12,low,No Target,Normal,NaN,None,None,NaN,999,0
13,low,No Target,Normal,NaN,None,None,NaN,999,0
14,low,No Target,Normal,NaN,None,None,NaN,999,0
15,low,No Target,Critical,NaN,0.735,tone3,0.39700000000000013,999,1
16,low,No Target,Normal,NaN,None,None,NaN,999,0
17,low,No Target,Normal,NaN,None,None,NaN,999,0
18,low,No Target,Normal,NaN,None,None,NaN,999,0
19,low,Target Absent,Normal,0.7509999999999999,None,None,NaN,1,0
20,low,No Target,Normal,NaN,None,None,NaN,999,0
21,low,No Target,Normal,NaN,None,None,NaN,999,0
22,low,No Target,Critical,NaN,0.069,tone2,0.5109999999999999,999,1
23,low,No Target,Normal,NaN,None,None,NaN,999,0
24,low,No Target,Critical,NaN,0.494,tone3,0.482,999,1
25,low,No Target,Normal,NaN,None,None,NaN,999,0
26,low,No Target,Critical,NaN,0.156,tone4,0.608,999,1
27,low,No Target,Normal,NaN,None,None,NaN,999,0
28,low,No Target,Normal,NaN,None,None,NaN,999,0
29,low,No Target,Normal,NaN,None,None,NaN,999,0
30,low,No Target,Normal,NaN,None,None,NaN,999,0
31,low,No Target,Normal,NaN,None,None,NaN,999,0
32,low,Target Absent,Normal,0.649,None,None,NaN,1,0
33,low,No Target,Normal,NaN,None,None,NaN,999,0
34,low,No Target,Normal,NaN,None,None,NaN,999,0
35,low,No Target,Critical,NaN,0.427,tone3,0.536,999,1
36,low,No Target,Normal,NaN,None,None,NaN,999,0
37,low,No Target,Normal,NaN,None,None,NaN,999,0
38,low,No Target,Normal,NaN,None,None,NaN,999,0
39,low,No Target,Normal,NaN,None,None,NaN,999,0
40,low,No Target,Normal,NaN,None,None,NaN,999,0
41,low,No Target,Critical,NaN,0.478,tone4,0.505,999,1
42,low,No Target,Normal,NaN,None,None,NaN,999,0
43,low,No Target,Normal,NaN,None,None,NaN,999,0
44,low,No Target,Normal,NaN,None,None,NaN,999,0
45,low,No Target,Normal,NaN,None,None,NaN,999,0
46,low,No Target,Normal,NaN,None,None,NaN,999,0
47,low,Target Absent,Normal,0.726,None,None,NaN,1,0
48,low,No Target,Normal,NaN,None,None,NaN,999,0
49,low,No Target,Normal,NaN,None,None,NaN,999,0
50,low,No Target,Normal,NaN,None,None,NaN,999,0
51,low,No Target,Normal,NaN,None,None,NaN,999,0
52,low,No Target,Critical,NaN,0.802,tone4,0.43699999999999983,999,1
53,low,Target Present,Normal,0.647,None,None,NaN,0,0
54,low,No Target,Normal,NaN,None,None,NaN,999,0
55,low,No Target,Normal,NaN,None,None,NaN,999,0
56,low,No Target,Normal,NaN,None,None,NaN,999,0
57,low,No Target,Normal,NaN,None,None,NaN,999,0
58,low,No Target,Critical,NaN,0.863,tone1,0.611,999,1
59,low,Target Present,Normal,0.8819999999999999,None,None,NaN,1,0
60,high,No Target,Normal,NaN,None,None,NaN,999,0
61,high,No Target,Normal,NaN,None,None,NaN,999,0
62,high,No Target,Critical,NaN,0.503,tone3,0.477,999,1
63,high,No Target,Normal,NaN,None,None,NaN,999,0
64,high,Target Absent,Normal,0.7390000000000001,None,None,NaN,1,0
65,high,No Target,Normal,NaN,None,None,NaN,999,0
66,high,No Target,Normal,NaN,None,None,NaN,999,0
67,high,No Target,Normal,NaN,None,None,NaN,999,0
68,high,No Target,Normal,NaN,None,None,NaN,999,0
69,high,No Target,Normal,NaN,None,None,NaN,999,0
70,high,No Target,Normal,NaN,None,None,NaN,999,0
71,high,Target Present,Normal,0.841,None,None,NaN,1,0
72,high,No Target,Normal,NaN,None,None,NaN,999,0
73,high,No Target,Normal,NaN,None,None,NaN,999,0
74,high,No Target,Normal,NaN,None,None,NaN,999,0
75,high,No Target,Normal,NaN,None,None,NaN,999,0
76,high,No Target,Normal,NaN,None,None,NaN,999,0
77,high,No Target,Normal,NaN,None,None,NaN,999,0
78,high,Target Absent,Critical,0.891,0.803,tone1,0.46399999999999986,999,1
79,high,No Target,Normal,NaN,None,None,NaN,999,0
80,high,No Target,Normal,NaN,None,None,NaN,999,0
81,high,No Target,Critical,NaN,0.635,tone1,0.5189999999999999,999,1
82,high,No Target,Normal,NaN,None,None,NaN,999,0
83,high,No Target,Normal,NaN,None,None,NaN,999,0
84,high,No Target,Normal,NaN,None,None,NaN,999,0
85,high,No Target,Normal,NaN,None,None,NaN,999,0
86,high,No Target,Normal,NaN,None,None,NaN,999,0
87,high,No Target,Normal,NaN,None,None,NaN,999,0
88,high,Target Present,Normal,0.7425,None,None,NaN,1,0
89,high,No Target,Normal,NaN,None,None,NaN,999,0
90,high,No Target,Normal,NaN,None,None,NaN,999,0
91,high,No Target,Critical,NaN,0.009,tone1,0.45,999,1
92,high,No Target,Normal,NaN,None,None,NaN,999,0
93,high,No Target,Normal,NaN,None,None,NaN,999,0
94,high,No Target,Critical,NaN,0.946,tone4,0.5530000000000002,999,1
95,high,No Target,Normal,NaN,None,None,NaN,999,0
96,high,No Target,Normal,NaN,None,None,NaN,999,0
97,high,No Target,Normal,NaN,None,None,NaN,999,0
98,high,No Target,Normal,NaN,None,None,NaN,999,0
99,high,No Target,Normal,NaN,None,None,NaN,999,0
100,high,No Target,Normal,NaN,None,None,NaN,999,0
101,high,No Target,Normal,NaN,None,None,NaN,999,0
102,high,No Target,Normal,NaN,None,None,NaN,999,0
103,high,No Target,Normal,NaN,None,None,NaN,999,0
104,high,No Target,Normal,NaN,None,None,NaN,999,0
105,high,No Target,Normal,NaN,None,None,NaN,999,0
106,high,No Target,Critical,NaN,0.406,tone3,0.48,999,1
107,high,No Target,Normal,NaN,None,None,NaN,999,0
108,high,No Target,Normal,NaN,None,None,NaN,999,0
109,high,No Target,Normal,NaN,None,None,NaN,999,0
110,high,Target Present,Normal,0.903,None,None,NaN,0,0
111,high,No Target,Normal,NaN,None,None,NaN,999,0
112,high,No Target,Critical,NaN,0.776,tone2,0.46299999999999986,999,1
113,high,No Target,Normal,NaN,None,None,NaN,999,0
114,high,No Target,Normal,NaN,None,None,NaN,999,0
115,high,No Target,Normal,NaN,None,None,NaN,999,0
116,high,No Target,Normal,NaN,None,None,NaN,999,0
117,high,No Target,Normal,NaN,None,None,NaN,999,0
118,high,No Target,Critical,NaN,0.156,tone1,0.529,999,1
119,high,Target Absent,Critical,0.875,0.802,tone1,0.44899999999999984,999,1
120,high,No Target,Normal,NaN,None,None,NaN,999,0
121,high,No Target,Normal,NaN,None,None,NaN,999,0
122,high,No Target,Critical,NaN,0.812,tone1,0.44299999999999984,999,1
123,high,No Target,Normal,NaN,None,None,NaN,999,0
124,high,No Target,Normal,NaN,None,None,NaN,999,0
125,high,No Target,Normal,NaN,None,None,NaN,999,0
