,Cat.1,Cat.2,Cat.3,Cat.4,Cat.5,TS,Load,exemplar,question,present_absent,trial_type,tone_Hz,tone_onset
2008_000041.jpg, pottedplant, person, chair, diningtable,,37.7107190223,high, pottedplant,NA,No Target,Normal,No tone,-999
2008_000093.jpg, tvmonitor, chair, sofa,,,29.8220330038,high, sofa,NA,No Target,Normal,No tone,-999
2008_000105.jpg, car,,,,,19.4531673546,low, car,NA,No Target,Normal,No tone,-999
2008_000112.jpg, bottle, cat,,,,21.2598297564,low, bottle,NA,No Target,Normal,No tone,-999
2008_000115.jpg, chair, cat,,,,17.570654058,low, chair,NA,No Target,Normal,No tone,-999
2008_000119.jpg, person, horse,,,,19.1875460742,low, person,NA,No Target,Normal,No tone,-999
2008_000123.jpg, bird,,,,,12.4339897793,low, bird, bird,Target Present,Normal,No tone,-999
2008_000151.jpg, aeroplane,,,,,8.17124474062,low, aeroplane,NA,No Target,Normal,No tone,-999
2008_000163.jpg, car,,,,,18.7084977246,low, car,NA,No Target,Normal,No tone,-999
2008_000177.jpg, horse,,,,,16.3969555242,low, horse, bottle,Target Absent,Normal,No tone,-999
2008_000183.jpg, dog,,,,,19.7552861872,low, dog,NA,No Target,Normal,No tone,-999
2008_000189.jpg, person, car,,,,18.3908783393,low, car,NA,No Target,Normal,No tone,-999
2008_000191.jpg, person, bicycle, boat,,,34.3190516078,high, boat,NA,No Target,Normal,No tone,-999
2008_000192.jpg, bird,,,,,29.176311485,high, bird,NA,No Target,Normal,No tone,-999
2008_000196.jpg, pottedplant, bicycle, bottle, cat,,35.3537844299,high, cat,NA,No Target,Normal,No tone,-999
2008_000202.jpg, person, chair, bottle, tvmonitor,,34.6330560906,high, bottle,NA,No Target,Normal,No tone,-999
2008_000219.jpg, horse,,,,,19.5981311751,low, horse,NA,No Target,Normal,No tone,-999
2008_000251.jpg, car, aeroplane,,,,35.8721794079,high, aeroplane, aeroplane,Target Present,Normal,No tone,-999
2008_000270.jpg, person, dog, sofa,,,29.9356183869,high, dog,NA,No Target,Normal,No tone,-999
2008_000274.jpg, pottedplant, chair,,,,32.0542696763,high, pottedplant,NA,No Target,Normal,No tone,-999
2008_000321.jpg, sofa, person,,,,35.9255718732,high, sofa,NA,No Target,Normal,No tone,-999
2008_000381.jpg, person, chair,,,,29.7799066144,high, chair,NA,No Target,Normal,No tone,-999
2008_000398.jpg, person, bottle,,,,20.4237954738,low, bottle,NA,No Target,Normal,No tone,-999
2008_000414.jpg, boat,,,,,35.947150003,high, boat,NA,No Target,Normal,No tone,-999
2008_000457.jpg, car,,,,,36.207394561,high, car,NA,No Target,Normal,No tone,-999
2008_000488.jpg, pottedplant, car,,,,30.6126931776,high, car,NA,No Target,Normal,No tone,-999
2008_000495.jpg, tvmonitor, chair, bottle,,,32.179769175,high, bottle,NA,No Target,Normal,No tone,-999
2008_000501.jpg, car,,,,,18.2986780975,low, car,NA,No Target,Normal,No tone,-999
2008_000541.jpg, person, sofa,,,,29.6390102391,high, person,NA,No Target,Normal,No tone,-999
2008_000619.jpg, car, cat,,,,33.4621847905,high, cat,NA,No Target,Normal,No tone,-999
2008_000634.jpg, person,,,,,21.2353598116,low, person,NA,No Target,Normal,No tone,-999
2008_000697.jpg, bird,,,,,32.0650958555,high, bird,NA,No Target,Critical,tone2,548
2008_000704.jpg, sofa, chair, person,,,34.561608236,high, person,NA,No Target,Normal,No tone,-999
2008_000705.jpg, person, bottle,,,,30.9580554561,high, bottle,NA,No Target,Normal,No tone,-999
2008_000734.jpg, person, sofa,,,,20.1853393344,low, sofa, chair,Target Absent,Normal,No tone,-999
2008_000740.jpg, person,,,,,21.0107127174,low, person,NA,No Target,Normal,No tone,-999
2008_000760.jpg, chair,,,,,19.6460660251,low, chair,NA,No Target,Normal,No tone,-999
2008_000798.jpg, bird,,,,,29.5945978863,high, bird, bird,Target Present,Normal,No tone,-999
2008_000833.jpg, car, boat, person,,,32.7592674188,high, boat,NA,No Target,Normal,No tone,-999
2008_000839.jpg, cat,,,,,16.4561012422,low, cat,NA,No Target,Normal,No tone,-999
2008_000860.jpg, cat,,,,,29.4014511321,high, cat,NA,No Target,Normal,No tone,-999
2008_000885.jpg, person, diningtable, bottle,,,33.4619040834,high, person,NA,No Target,Normal,No tone,-999
2008_000912.jpg, horse,,,,,18.5058834477,low, horse,NA,No Target,Normal,No tone,-999
2008_000916.jpg, pottedplant, person, train,,,29.3234930732,high, person,NA,No Target,Normal,No tone,-999
2008_000928.jpg, person,,,,,30.9969778208,high, person,NA,No Target,Normal,No tone,-999
2008_000940.jpg, person,,,,,20.1891503371,low, person,NA,No Target,Normal,No tone,-999
2008_000952.jpg, car,,,,,19.7592559984,low, car,NA,No Target,Normal,No tone,-999
