,0,1,2,3,4,5,6,7
2008_000041.jpg, pottedplant, person, chair, diningtable,,37.710719022258736,high, pottedplant
2008_000093.jpg, tvmonitor, chair, sofa,,,29.822033003804499,high, sofa
2008_000105.jpg, car,,,,,19.453167354566592,low, car
2008_000112.jpg, bottle, cat,,,,21.259829756421428,low, bottle
2008_000115.jpg, chair, cat,,,,17.570654058012458,low, chair
2008_000119.jpg, person, horse,,,,19.187546074203674,low, person
2008_000123.jpg, bird,,,,,12.433989779329734,low, bird
2008_000151.jpg, aeroplane,,,,,8.1712447406174693,low, aeroplane
2008_000163.jpg, car,,,,,18.708497724634334,low, car
2008_000177.jpg, horse,,,,,16.396955524186414,low, horse
2008_000183.jpg, dog,,,,,19.755286187157022,low, dog
2008_000189.jpg, person, car,,,,18.390878339274188,low, car
2008_000191.jpg, person, bicycle, boat,,,34.319051607761132,high, boat
2008_000192.jpg, bird,,,,,29.176311484999022,high, bird
2008_000196.jpg, pottedplant, bicycle, bottle, cat,,35.353784429943062,high, cat
2008_000202.jpg, person, chair, bottle, tvmonitor,,34.633056090581924,high, bottle
2008_000219.jpg, horse,,,,,19.598131175056185,low, horse
2008_000251.jpg, car, aeroplane,,,,35.872179407942049,high, aeroplane
2008_000270.jpg, person, dog, sofa,,,29.935618386927253,high, dog
2008_000274.jpg, pottedplant, chair,,,,32.054269676274835,high, pottedplant
2008_000321.jpg, sofa, person,,,,35.925571873150382,high, sofa
2008_000381.jpg, person, chair,,,,29.779906614434282,high, chair
2008_000398.jpg, person, bottle,,,,20.423795473772003,low, bottle
2008_000414.jpg, boat,,,,,35.94715000296663,high, boat
2008_000457.jpg, car,,,,,36.207394560965142,high, car
2008_000488.jpg, pottedplant, car,,,,30.612693177580176,high, car
2008_000495.jpg, tvmonitor, chair, bottle,,,32.179769175040214,high, bottle
2008_000501.jpg, car,,,,,18.29867809750948,low, car
2008_000541.jpg, person, sofa,,,,29.639010239051963,high, person
2008_000619.jpg, car, cat,,,,33.462184790468179,high, cat
2008_000634.jpg, person,,,,,21.235359811557636,low, person
2008_000697.jpg, bird,,,,,32.06509585553637,high, bird
2008_000704.jpg, sofa, chair, person,,,34.561608236038907,high, person
2008_000705.jpg, person, bottle,,,,30.958055456079503,high, bottle
2008_000734.jpg, person, sofa,,,,20.185339334432729,low, sofa
2008_000740.jpg, person,,,,,21.01071271736431,low, person
2008_000760.jpg, chair,,,,,19.646066025131251,low, chair
2008_000798.jpg, bird,,,,,29.594597886254714,high, bird
2008_000833.jpg, car, boat, person,,,32.759267418843763,high, boat
2008_000839.jpg, cat,,,,,16.456101242175052,low, cat
2008_000860.jpg, cat,,,,,29.401451132133513,high, cat
2008_000885.jpg, person, diningtable, bottle,,,33.461904083445745,high, person
2008_000912.jpg, horse,,,,,18.505883447655105,low, horse
2008_000916.jpg, pottedplant, person, train,,,29.323493073246585,high, person
2008_000928.jpg, person,,,,,30.996977820829354,high, person
2008_000940.jpg, person,,,,,20.189150337053679,low, person
2008_000952.jpg, car,,,,,19.759255998410111,low, car
2008_000972.jpg, person, sofa,,,,20.707877775353552,low, sofa
2008_000982.jpg, car, person, bus,,,35.069419182240701,high, car
2008_000984.jpg, person,,,,,30.748885654889747,high, person
2008_001040.jpg, boat,,,,,20.210043703583391,low, boat
2008_001098.jpg, person,,,,,15.903696109038165,low, person
2008_001185.jpg, bird,,,,,18.523024266211753,low, bird
2008_001205.jpg, person,,,,,19.675826944132364,low, person
2008_001210.jpg, cat,,,,,29.246976174425782,high, cat
2008_001221.jpg, person,,,,,18.13905315137702,low, person
2008_001238.jpg, sofa, dog,,,,21.001227278103951,low, sofa
2008_001278.jpg, person, horse,,,,32.480531856762035,high, horse
2008_001283.jpg, pottedplant, person, bird,,,32.325935045893075,high, bird
2008_001333.jpg, sofa, chair, bottle, person,,29.051766794986214,high, sofa
2008_001367.jpg, person,,,,,20.358449022039412,low, person
2008_001451.jpg, pottedplant, person, chair, diningtable,,31.487640373164247,high, pottedplant
2008_001479.jpg, dog,,,,,13.411221053439446,low, dog
