,Cat.1,Cat.2,Cat.3,Cat.4,Cat.5,TS,Load,present_absent,trial_type
2008_003448.jpg, person, chair,,,,30.016324329275829,high,Target Present,Normal
2008_003449.jpg, boat,,,,,34.708650154968005,high,Target Present,Normal
2008_003464.jpg, person,,,,,19.72420040844229,low,Target Absent,Normal
2008_003477.jpg, chair, diningtable,,,,34.860726553164767,high,Target Absent,Normal
2008_003498.jpg, car, motorbike,,,,32.345816037704573,high,Target Present,Normal
2008_003701.jpg, boat,,,,,29.9571992215138,high,Target Present,Normal
2008_003706.jpg, person,,,,,17.23065839052537,low,Target Present,Critical
2008_003852.jpg, dog,,,,,18.163024969077554,low,Target Absent,Normal
2008_004036.jpg, person, motorbike,,,,19.446156687645161,low,Target Absent,Normal
2008_004269.jpg, sofa, person,,,,20.983298059388602,low,Target Present,Normal
2008_004371.jpg, person, motorbike,,,,32.579236803168989,high,Target Present,Normal
2008_004389.jpg, person, bottle, diningtable,,,28.822656476371627,high,Target Absent,Critical
2008_004425.jpg, bird,,,,,17.14996667859641,low,Target Absent,Normal
2008_004436.jpg, person, car,,,,30.697177208527194,high,Target Absent,Normal
2008_004487.jpg, chair, bottle,,,,35.925064893420085,high,Target Present,Normal
2008_004522.jpg, person,,,,,20.543288615744785,low,Target Present,Normal
2008_004564.jpg, person, chair, bottle, diningtable,,28.719634584894571,high,Target Absent,Critical
2008_004607.jpg, bottle,,,,,20.465741194973702,low,Target Present,Normal
2008_004615.jpg, pottedplant, motorbike,,,,29.797419521088532,high,Target Absent,Critical
2008_004695.jpg, dog,,,,,14.467183249090136,low,Target Absent,Normal
2008_004702.jpg, person, chair, dog,,,18.946307005815271,low,Target Absent,Normal
2008_004742.jpg, bird,,,,,14.4872306142904,low,Target Present,Normal
2008_004756.jpg, pottedplant, person,,,,29.004664080836946,high,Target Absent,Normal
2008_005001.jpg, pottedplant, person,,,,34.943837141944897,high,Target Present,Normal
2008_005172.jpg, person, motorbike,,,,15.533652366722812,low,Target Absent,Normal
2008_005194.jpg, dog,,,,,19.65239616193384,low,Target Absent,Critical
2008_005251.jpg, person,,,,,18.439772554206492,low,Target Present,Normal
2008_005276.jpg, person, bicycle,,,,33.363226940798569,high,Target Present,Critical
2008_005288.jpg, cat,,,,,15.614019717005355,low,Target Present,Normal
2008_005342.jpg, tvmonitor, chair, bottle, diningtable,,34.04502196437339,high,Target Absent,Critical
2008_005563.jpg, person, dog,,,,29.0787327362723,high,Target Absent,Normal
2008_005616.jpg, person, chair,,,,31.698792809344923,high,Target Present,Normal
2008_005685.jpg, aeroplane,,,,,14.016070769678755,low,Target Present,Normal
2008_005817.jpg, tvmonitor,,,,,29.725909836780325,high,Target Absent,Critical
2008_005818.jpg, horse,,,,,29.084159041893106,high,Target Present,Normal
2008_005831.jpg, dog,,,,,15.137915282453642,low,Target Present,Normal
2008_005867.jpg, person, bottle,,,,31.118687546941533,high,Target Present,Normal
2008_006166.jpg, chair, dog,,,,29.625143727429808,high,Target Present,Normal
2008_006298.jpg, sheep, person, horse,,,32.385477618367688,high,Target Present,Normal
2008_006480.jpg, cat,,,,,7.8755423651265026,low,Target Present,Normal
2008_006481.jpg, bird, boat,,,,29.314233597971626,high,Target Present,Normal
2008_006626.jpg, bird,,,,,19.329864582896541,low,Target Absent,Normal
2008_007108.jpg, pottedplant, dog,,,,29.851834352354174,high,Target Absent,Normal
2008_007279.jpg, dog,,,,,20.086261363905603,low,Target Present,Normal
2008_007323.jpg, car,,,,,31.095270685305142,high,Target Absent,Normal
2008_007378.jpg, chair, dog, diningtable,,,29.611440342795753,high,Target Present,Normal
2008_007417.jpg, dog,,,,,18.052501969592001,low,Target Absent,Normal
2008_007536.jpg, tvmonitor, person,,,,29.097147708789429,high,Target Absent,Normal
2008_007913.jpg, person, cat,,,,32.265109082996503,high,Target Present,Normal
2008_007923.jpg, person, bottle,,,,19.05734476753717,low,Target Present,Normal
2008_007970.jpg, person, aeroplane,,,,30.073041628958684,high,Target Present,Normal
2008_008199.jpg, cow,,,,,28.982776870917203,high,Target Present,Normal
2008_008428.jpg, cow,,,,,17.423847402101142,low,Target Absent,Critical
2008_008435.jpg, bird,,,,,15.929198978425086,low,Target Present,Normal
2008_008684.jpg, bus, person,,,,30.530816124618234,high,Target Present,Normal
2008_008714.jpg, sheep, dog,,,,20.078173434978684,low,Target Absent,Normal
2008_008724.jpg, bicycle,,,,,33.072436607343256,high,Target Present,Critical
2009_000291.jpg, person,,,,,18.935516809225497,low,Target Absent,Critical
2009_000457.jpg, car, bicycle, person,,,32.664307609714051,high,Target Absent,Normal
2009_000472.jpg, cow,,,,,20.695191832801282,low,Target Present,Normal
2009_000504.jpg, cat,,,,,20.838551794823502,low,Target Absent,Normal
2009_000608.jpg, boat,,,,,33.058800596273656,high,Target Present,Normal
2009_000746.jpg, bird,,,,,17.113858412416995,low,Target Present,Normal
2009_000748.jpg, bird,,,,,12.31601917082212,low,Target Present,Normal
2009_000906.jpg, car,,,,,29.054781481845193,high,Target Absent,Normal
2009_000989.jpg, dog,,,,,13.353442225137648,low,Target Present,Normal
2009_001137.jpg, pottedplant, person,,,,13.786733463571187,low,Target Absent,Critical
2009_001314.jpg, bird,,,,,8.5490861342123345,low,Target Present,Normal
